vehicle_id,time,from_node,to_node
0,0,297305382,324550942
1,0,330043393,3787401132
2,1,330040563,2559588578
3,1,2670815505,330043393
4,1,330043437,330043393
5,1,255364799,cluster_330045131_330045136
6,2,330043393,330040563
7,2,330041440,6113530410
8,3,6793225631,6770075859
9,3,cluster_330045496_330045504_5200254966_5200254968,414271220
10,3,4871254737,329590188
11,3,360477894,5022920587
12,4,330041179,2559588578
13,4,5354357258,cluster_330045131_330045136
14,5,2670815505,9171417825
15,5,2345175512,5528062124
16,6,330043171,361191300
17,6,4812389444,402003813
18,6,330046229,330043956
19,7,330044936,1404484711
20,7,2546875545,11231981
21,7,9201686689,330044315
22,8,34821710,2546875470
23,8,2672744432,578673912
24,9,330043310,2412315513
25,10,330044936,2412315513
26,10,332639850,330036595
27,11,330042413,6126996586
28,11,292257022,9213952034
29,12,1404484715,2546875503
30,13,cluster_291381188_330041233,3139882142
31,13,3830640674,976528927
32,13,330041106,360477824
33,15,578673912,255364799
34,15,3681387999,330044693
35,16,1157945201,7963162224
36,17,4871254737,2344597051
37,17,21608373,9171417825
38,18,330042642,4711727819
39,18,322685005,4711727819
40,19,330045368,330043310
41,19,330041440,1199475134
42,19,360477894,330044693
43,20,6111414502,5490669837
44,20,330041707,5528062124
45,21,360477824,330045423
46,21,2672744432,414271220
47,21,330042369,5354357258
48,21,330040956,330041707
49,21,578673912,3139882142
50,21,cluster_330045131_330045136,330043310
51,22,297447184,6126996586
52,22,330041106,4871254737
53,23,329983499,330042369
54,24,9249762409,2475219070
55,24,2672744468,330043198
56,25,330043625,8220941
57,25,6304257800,976528927
58,25,9171417825,cluster_330045131_330045136
59,26,514184883,cluster_330045496_330045504_5200254966_5200254968
60,26,10981451,330043171
61,26,330041179,6113530410
62,27,7131789198,514200384
63,27,2412315513,1423873864
64,27,360474078,1404484701
65,27,330043955,330042917
66,27,330044693,2475219070
67,27,6126996586,3830640674
68,27,360477824,cluster_291381188_330041233
69,28,4027663361,292257022
70,28,330042642,297305382
71,29,414271220,330043393
72,29,2670815564,360477824
73,29,330043198,330041266
74,29,2559588578,330043064
75,30,514200384,514184883
76,30,cluster_330045282_330045762,330046003
77,30,9152533590,2670815505
78,31,6111414502,2341789778
79,31,323378327,330044315
80,32,330045368,10981451
81,32,429784164,360477894
82,32,330041707,330043625
83,33,3787401132,330044936
84,33,1157945201,5354357258
85,33,3878025247,330045311
86,34,324550942,2723670750
87,34,6989036711,3349691312
88,34,6329296611,330042835
89,35,2412315513,297305382
